"Cylinders","Fuel_Type","City_MPG","Highway_MPG","CO2_Emissions"
"4","Hybrid",24.6,34,268
"6","Hybrid",15.7,25.2,559
"4","Gasoline",17.3,26.3,191
"4","Gasoline",48.5,55.3,124
"4","Diesel",27.1,30.6,406
"4","Hybrid",45.4,49,190
"4","Diesel",48.6,57.9,188
"4","Diesel",48,57.1,212
"8","Gasoline",45.9,51.9,170
"4","Gasoline",46.3,51.6,228
"6","Gasoline",25.1,32.6,324
"8","Hybrid",20.3,28.9,396
"3","Gasoline",37.4,45.5,123
"6","Hybrid",32.1,39.4,335
"4","Gasoline",18.5,23.1,515
"3","Hybrid",38.7,43.5,145
"4","Gasoline",34.7,42.8,228
"8","Gasoline",45.2,53.8,142
"3","Diesel",36.3,40.1,249
"4","Gasoline",35.1,39.4,334
"4","Hybrid",30.4,38.2,121
"6","Gasoline",31.2,36.9,355
"3","Gasoline",48.4,55.3,85
"6","Hybrid",19.8,27.1,332
"6","Hybrid",30.6,39,229
"6","Gasoline",38,46.6,144
"8","Hybrid",30.2,35.2,266
"6","Gasoline",24.9,31.7,390
"3","Gasoline",25.1,29,234
"4","Gasoline",23.2,32.1,158
"4","Gasoline",27,35.9,295
"4","Gasoline",45.5,50.6,215
"4","Gasoline",32.7,36.8,348
"4","Gasoline",23.4,26.9,205
"4","Hybrid",28.5,35.5,364
"8","Gasoline",18.7,22.3,389
"3","Hybrid",46.6,54.4,115
"8","Diesel",29.3,37,367
"4","Gasoline",49.3,56.6,110
"6","Gasoline",27.2,36.3,320
"6","Gasoline",44.3,49.9,225
"4","Hybrid",24,33.3,262
"4","Gasoline",17.7,21,506
"4","Gasoline",16.1,19.9,487
"4","Hybrid",36.2,42.1,139
"8","Diesel",25.9,33.1,353
"6","Gasoline",30.5,33.7,370
"4","Gasoline",43.7,50.7,170
"4","Hybrid",23.7,28.9,473
"4","Hybrid",25.8,35,247
"3","Gasoline",44.6,51.3,166
"6","Gasoline",32.2,39.3,270
"4","Hybrid",44,53.6,110
"4","Diesel",28.1,36.4,361
"3","Hybrid",28.9,35,337
"4","Gasoline",20.8,27.1,475
"6","Hybrid",47.1,54.6,179
"4","Gasoline",46.4,50.8,236
"8","Gasoline",49.4,53,189
"6","Diesel",29.1,34.3,260
"4","Gasoline",43.7,52.1,249
"3","Hybrid",29.5,34.3,238
"6","Gasoline",30.9,34.8,247
"8","Hybrid",44,48.5,113
"6","Gasoline",21.2,29,480
"4","Diesel",22.7,30,216
"8","Gasoline",26,33.8,184
"4","Diesel",42.6,47.9,102
"6","Diesel",28,37.3,236
"8","Gasoline",27.5,33.7,201
"4","Gasoline",50,56.6,192
"8","Gasoline",28.4,38,194
"4","Hybrid",23.7,33.6,351
"8","Gasoline",36.8,44.4,135
"4","Gasoline",43.1,52.7,120
"8","Gasoline",17.4,24.2,519
"3","Hybrid",36.7,41.9,178
"6","Gasoline",16.3,21.5,250
"4","Gasoline",33.4,40.3,330
"4","Diesel",24,31.2,192
"4","Diesel",25.7,31.8,176
"6","Gasoline",31.3,40.5,192
"4","Hybrid",47.4,53.4,91
"4","Diesel",39.9,44.8,121
"4","Gasoline",47.8,50.9,226
"8","Gasoline",38.1,47.9,122
"3","Hybrid",15.2,24,241
"4","Gasoline",24.3,31.6,410
"4","Gasoline",46.7,55.5,149
"4","Gasoline",37.5,46.2,122
"4","Diesel",49.4,58.9,163
"4","Gasoline",20.5,26.2,176
"6","Diesel",25.4,32.3,260
"6","Gasoline",27.7,31.4,302
"4","Diesel",26.4,36.2,387
"3","Diesel",23.8,33.7,230
"6","Gasoline",30.5,39,301
"4","Hybrid",37.5,43.7,121
"6","Gasoline",25.9,32.4,259
"4","Diesel",17.8,23.8,274
"4","Gasoline",39.8,44.9,190
"4","Gasoline",31.1,37.8,215
"6","Hybrid",34.5,37.9,340
"4","Hybrid",30.9,40.8,329
"4","Gasoline",46.2,52.2,180
"4","Gasoline",34.6,44.1,135
"6","Gasoline",47.3,55.4,168
"8","Hybrid",32.9,37.9,302
"4","Gasoline",25.2,29.8,148
"4","Gasoline",27.4,37.4,233
"8","Gasoline",33.3,41.7,110
"4","Hybrid",33.5,38.2,164
"4","Gasoline",39.1,42.6,112
"4","Gasoline",22.9,30.8,453
"6","Gasoline",38.1,43.2,129
"4","Gasoline",42.3,46.8,114
"6","Diesel",38.7,46.8,287
"4","Hybrid",31.9,39.7,231
"3","Hybrid",49.7,56.1,196
"6","Gasoline",29.2,38.8,195
"4","Hybrid",18.7,26.5,372
"4","Gasoline",43.8,53.1,79
"6","Gasoline",22.4,26.7,298
"6","Hybrid",40,45.1,202
"6","Gasoline",21.3,25,356
"8","Gasoline",15.6,20.7,402
"6","Hybrid",20.6,30.4,417
"3","Gasoline",28.2,37.9,246
"4","Diesel",18.7,27,408
"6","Hybrid",21.9,28.5,213
"4","Gasoline",41.8,50.3,245
"6","Gasoline",41.9,48.8,153
"6","Gasoline",43.6,46.6,177
"4","Gasoline",44.4,50.9,143
"8","Gasoline",29.7,36.9,347
"4","Diesel",45.4,50.3,243
"4","Gasoline",33.4,37.8,160
"8","Gasoline",31.5,36.4,304
"4","Gasoline",40.1,47.5,106
"4","Gasoline",22.5,26.5,164
"4","Hybrid",42.6,50.6,238
"6","Gasoline",30,36,148
"6","Hybrid",19.5,25,229
"6","Gasoline",19.2,27.9,385
"6","Gasoline",20.8,27.3,453
"4","Gasoline",46.2,51.8,110
"6","Gasoline",49.7,58.8,88
"6","Diesel",27.5,33.1,146
"4","Gasoline",25.2,34.2,134
"4","Hybrid",22.7,29.2,184
"8","Gasoline",43.8,48.3,261
"6","Hybrid",22.3,29.6,177
"6","Gasoline",47.3,52.3,180
"6","Gasoline",38.4,42.4,292
"4","Gasoline",46.4,50,192
"6","Gasoline",34.4,39.1,110
"4","Hybrid",39.2,47.4,207
"3","Gasoline",36.7,45.6,283
"6","Gasoline",44.1,53.1,135
"4","Gasoline",44.3,49.2,139
"6","Gasoline",35.6,43.2,150
"4","Hybrid",37.1,41.7,207
"4","Diesel",47.3,54.7,114
"4","Diesel",47.5,56.7,194
"4","Gasoline",38.2,41.5,236
"4","Hybrid",15.3,25.2,358
"4","Diesel",18.7,27.5,436
"8","Gasoline",45,53.3,94
"4","Gasoline",18,25.8,471
"4","Hybrid",22.5,30.9,338
"4","Gasoline",23.1,33.1,330
"6","Diesel",36,44.4,107
"4","Gasoline",35.2,40.7,241
"6","Gasoline",25.1,32.4,281
"6","Diesel",22.3,27.7,320
"4","Diesel",41.8,51.6,141
"4","Gasoline",47.7,57,73
"8","Diesel",16.8,23.8,367
"6","Gasoline",19.7,28.2,303
"6","Diesel",37.5,46.9,177
"3","Hybrid",43.2,47.9,200
"4","Hybrid",42.7,49.8,138
"4","Gasoline",40.2,46.6,141
"4","Gasoline",46.1,54.5,161
"4","Hybrid",22.6,28.3,351
"6","Gasoline",18.8,26.8,382
"4","Gasoline",36.5,42.3,291
"6","Hybrid",43.8,47.6,229
"6","Gasoline",35.4,39.1,113
"4","Gasoline",48.7,52.5,172
"6","Gasoline",42.8,46,167
"4","Gasoline",39.5,46.2,161
"6","Gasoline",17.1,24.8,579
"4","Hybrid",18.8,22.7,373
"3","Gasoline",42.5,49.8,218
"6","Gasoline",21.9,29.1,479
"4","Hybrid",16,20,282
"8","Diesel",46.9,52.7,85
"4","Diesel",46.2,54.5,129
"4","Gasoline",22.6,25.7,171
"4","Hybrid",42.3,46.3,108
"4","Gasoline",16.7,26.7,573
"4","Gasoline",25,33.1,418
"6","Gasoline",36.8,43,246
"6","Gasoline",41.7,49.1,228
"6","Gasoline",15.4,24.3,251
"8","Diesel",26.4,35.3,290
"4","Gasoline",22.5,27.8,203
"6","Diesel",50,56.4,133
"4","Gasoline",38.5,46,160
"6","Gasoline",29.2,32.7,295
"4","Gasoline",17.6,27.2,199
"8","Hybrid",36,42,119
"6","Hybrid",37.5,43.1,225
"8","Hybrid",43.6,52.9,193
"6","Diesel",25.1,28.9,249
"8","Diesel",49.3,52.6,99
"6","Diesel",30.4,38.2,335
"4","Diesel",25.4,31.1,149
"4","Gasoline",27.2,35.6,319
"4","Gasoline",33.2,36.7,142
"3","Gasoline",47.8,53.5,184
"4","Gasoline",40.7,45.3,222
"4","Gasoline",35.2,43.4,274
"4","Gasoline",20.7,25.3,313
"8","Gasoline",20.2,26.4,169
"8","Gasoline",32.6,41.3,294
"4","Hybrid",40.5,49.9,169
"4","Gasoline",41.3,49.4,246
"4","Gasoline",22.9,28.9,407
"4","Hybrid",18.5,25.5,369
"6","Gasoline",28.5,36.3,386
"4","Gasoline",47.1,56.2,151
"4","Gasoline",34.1,43.3,254
"6","Gasoline",26.2,35.7,311
"6","Gasoline",26.3,35,270
"4","Gasoline",19.6,23.6,411
"6","Gasoline",31.6,39.8,301
"4","Hybrid",42.7,51.4,186
"4","Gasoline",48.9,58,144
"3","Diesel",32.6,42.1,256
"4","Gasoline",20.9,27.5,168
"4","Gasoline",38.9,46.5,110
"4","Hybrid",41.5,44.6,113
"6","Gasoline",17.5,24.5,356
"6","Hybrid",44.8,51.1,237
"4","Gasoline",44,53.7,192
"3","Hybrid",31.5,40.8,339
"6","Gasoline",34.6,43.2,105
"3","Gasoline",40,43.4,241
"8","Diesel",38.7,44.5,156
"6","Diesel",15.6,23.5,202
"4","Gasoline",19.3,22.5,525
"4","Hybrid",20.7,25.4,224
"3","Gasoline",41.4,50.6,122
"4","Gasoline",30.4,34.3,208
"4","Gasoline",34.1,37.5,297
"6","Diesel",42,49.1,202
"4","Hybrid",26.9,36.5,191
"4","Gasoline",41.2,50,115
"4","Gasoline",30.5,40.3,133
"4","Diesel",28.2,36.5,156
"3","Gasoline",26.7,32.8,381
"3","Gasoline",48.8,58.4,221
"3","Gasoline",42,48,272
"6","Gasoline",15.7,21.2,599
"4","Gasoline",48.5,54.6,223
"6","Gasoline",42.1,50.8,234
"4","Diesel",20.2,29.6,487
"4","Diesel",17.7,23.2,545
"4","Gasoline",25.8,32,270
"6","Gasoline",36.8,46.1,159
"4","Gasoline",36.6,39.9,232
"4","Gasoline",24.7,33.2,313
"4","Diesel",30.6,36.8,261
"4","Hybrid",22.4,28,394
"4","Diesel",16.8,22.9,497
"6","Diesel",33.1,39,125
"4","Gasoline",27.1,35.4,200
"6","Gasoline",34,43.5,298
"4","Hybrid",48.1,54.5,174
"6","Hybrid",20,28.8,271
"6","Gasoline",15.1,23.2,584
"4","Gasoline",17.7,23,291
"6","Diesel",31.2,38.3,211
"6","Gasoline",39.7,47.4,142
"4","Diesel",35.3,38.5,308
"4","Hybrid",32.3,38.1,288
"6","Gasoline",27.4,37.3,240
"4","Hybrid",25.8,33.3,403
"3","Hybrid",28.2,33.5,385
"6","Hybrid",36.4,41.2,257
"3","Gasoline",20.9,25.4,499
"6","Gasoline",42,47.8,224
"6","Gasoline",35.1,39.5,248
"8","Gasoline",24.4,28.3,282
"3","Gasoline",32.5,38,174
"4","Gasoline",48.7,55.9,82
"4","Diesel",15.7,19.7,608
"4","Gasoline",22,25.3,204
"3","Gasoline",30.7,33.9,227
"4","Gasoline",37.3,42.2,146
"4","Diesel",22.4,26.7,315
"4","Diesel",47.6,54.4,128
"6","Gasoline",37.5,43.7,271
"6","Hybrid",45.7,51,255
"6","Gasoline",26.5,35.3,388
"8","Gasoline",44,50.5,195
"4","Diesel",28.2,31.8,411
"8","Diesel",23.8,28.9,275
"6","Gasoline",46.9,56.7,161
"4","Hybrid",18.2,28,260
"4","Hybrid",48,52.8,230
"4","Gasoline",31,35.2,161
"4","Gasoline",49.7,56.2,172
"4","Gasoline",33.9,40.3,290
"4","Gasoline",41.5,47.4,202
"6","Gasoline",15.2,21.9,239
"4","Diesel",32.4,37,262
"4","Gasoline",40.8,44.6,245
"6","Diesel",42.4,49.4,118
"4","Gasoline",20.5,30,404
"8","Gasoline",29.7,33.7,361
"4","Gasoline",29.7,37.6,368
"8","Gasoline",18.6,24.7,339
"3","Gasoline",30.5,35.6,120
"4","Diesel",43.2,52.2,155
"3","Diesel",25.5,31.7,333
"6","Gasoline",30.1,37.2,343
"6","Diesel",48.6,54.7,232
"4","Gasoline",16.1,19.7,654
"8","Gasoline",35.7,42.9,242
"4","Gasoline",41,46.9,221
"6","Diesel",41.6,45.2,87
"6","Gasoline",40.1,47.3,159
"4","Gasoline",40.4,43.5,279
"4","Gasoline",17.1,21.6,506
"8","Hybrid",33.7,42.2,207
"8","Diesel",42.4,45.7,106
"8","Diesel",18.3,25.8,268
"8","Diesel",15.4,25,426
"4","Gasoline",43.5,47.7,254
"6","Diesel",39.9,45.8,107
"4","Hybrid",29.4,36.4,155
"8","Gasoline",47.9,54.1,186
"4","Gasoline",41.8,49.1,139
"4","Gasoline",48.9,54.7,101
"4","Gasoline",47.5,51.5,107
"4","Hybrid",31.8,35.4,240
"3","Gasoline",41.4,49.6,195
"6","Gasoline",38.4,43.1,286
"6","Hybrid",43.4,52.3,175
"4","Gasoline",42.6,50.8,210
"6","Gasoline",20.4,23.7,242
"6","Hybrid",23.2,27.6,393
"4","Gasoline",24.3,29.3,352
"4","Diesel",43.6,50.8,120
"6","Gasoline",43.4,52.1,201
"6","Gasoline",32.3,35.7,165
"4","Gasoline",35.3,40,238
"6","Gasoline",43.9,49.5,206
"3","Hybrid",25.9,30.2,350
"4","Hybrid",16.8,23.6,580
"4","Hybrid",31.9,38.2,344
"4","Gasoline",47,52.2,219
"6","Hybrid",42.7,49.3,249
"8","Diesel",27.8,33.3,128
"4","Gasoline",17.3,22.7,346
"4","Diesel",37.3,42.2,103
"6","Gasoline",44.2,51,120
"6","Gasoline",38.3,44.4,171
"6","Hybrid",29.9,34.3,353
"6","Diesel",19.3,22.4,395
"4","Gasoline",46.9,51,193
"6","Gasoline",24.7,28,263
"4","Hybrid",22.9,28.9,348
"4","Diesel",43.6,48.2,237
"4","Gasoline",49.3,55.2,122
"4","Gasoline",38.1,43.4,292
"8","Gasoline",36.9,43.7,139
"6","Hybrid",26.2,34.3,390
"4","Gasoline",15.7,22.1,212
"4","Gasoline",21.7,25.1,363
"4","Gasoline",35.5,38.6,334
"4","Hybrid",20.3,24.8,403
"6","Diesel",45.9,51.9,176
"8","Diesel",21.6,24.9,418
"8","Gasoline",33.3,38.6,175
"6","Gasoline",32.9,42.1,113
"6","Hybrid",36.1,39.7,157
"4","Hybrid",26.5,36.1,169
"4","Hybrid",45.6,54.6,236
"4","Hybrid",30.6,39.4,320
"4","Hybrid",39.5,48.5,148
"6","Diesel",37.3,40.9,283
"4","Hybrid",19.1,23.2,265
"4","Diesel",36.8,40.7,142
"4","Gasoline",34.3,38.1,289
"8","Gasoline",46.5,51.8,134
"4","Hybrid",45.8,54.6,86
"6","Gasoline",20.3,25.1,443
"6","Hybrid",17.9,22.6,613
"4","Gasoline",25.3,33,299
"4","Gasoline",49.5,53.2,118
"6","Gasoline",15.8,21.3,378
"4","Gasoline",38.6,43.7,229
"8","Gasoline",36.3,45.2,243
"4","Gasoline",37.6,44.2,281
"3","Hybrid",22.6,30.1,444
"6","Gasoline",22.9,26.8,454
"6","Gasoline",30.1,39.6,270
"8","Gasoline",18.4,23.7,365
"6","Diesel",17.6,25.5,450
"8","Diesel",18.1,27.8,418
"6","Diesel",35.1,41.7,147
"6","Gasoline",28.9,35.5,254
"4","Gasoline",25.3,29.1,205
"4","Diesel",26.1,31.8,401
"8","Hybrid",22.3,31.3,245
"4","Gasoline",29.4,33.3,344
"4","Gasoline",22.1,31.5,263
"4","Gasoline",39.4,47.1,241
"4","Gasoline",19.3,25.2,255
"4","Diesel",48.2,55,202
"3","Gasoline",18.1,22.2,264
"6","Gasoline",48,52.5,160
"4","Gasoline",44.2,49.2,102
"4","Hybrid",38.8,44.5,201
"4","Hybrid",46.9,56.3,212
"3","Hybrid",19.9,25.5,456
"4","Gasoline",21.2,27.9,171
"6","Diesel",23.8,27.9,312
"3","Gasoline",23.6,31.8,405
"8","Gasoline",25.9,32.8,322
"4","Gasoline",35.1,41.2,112
"4","Gasoline",16,25.6,317
"4","Gasoline",28.4,37.6,261
"3","Hybrid",23.6,31.2,192
"6","Gasoline",36.2,45.7,237
"6","Gasoline",49.5,56.5,176
"6","Gasoline",33.1,41.9,147
"4","Gasoline",29.9,35.8,261
"4","Gasoline",27.9,31.5,365
"4","Gasoline",42.5,52.5,148
"8","Gasoline",17.5,21.7,302
"4","Gasoline",48.6,53.4,194
"6","Gasoline",29.6,33.7,138
"4","Gasoline",26,31.4,385
"4","Gasoline",49.1,54.1,233
"4","Gasoline",47.8,55,237
"3","Gasoline",37.5,47.5,177
"6","Hybrid",15.6,19,532
"4","Gasoline",41.2,49.6,248
"6","Gasoline",26.7,30.6,199
"3","Hybrid",28.6,31.7,132
"8","Hybrid",20.6,28.1,292
"4","Hybrid",33.3,42.4,304
"6","Diesel",41.1,45.3,189
"6","Gasoline",24.6,30,307
"8","Gasoline",47.9,52.1,196
"4","Diesel",21.8,31.1,332
"6","Hybrid",17.3,22.2,214
"4","Diesel",37.6,43.7,213
"4","Hybrid",44.7,54,191
"4","Gasoline",48.4,55.3,181
"4","Gasoline",41.9,51.4,217
"8","Hybrid",22,31.5,310
"3","Diesel",49.2,55.4,222
"4","Hybrid",47.2,54.3,154
"6","Diesel",20.7,25.3,360
"4","Gasoline",34.6,44.5,267
"6","Gasoline",34.4,39.3,300
"4","Hybrid",30.5,39,271
"4","Gasoline",49.4,54.6,93
"4","Gasoline",17.1,22.3,338
"8","Gasoline",37,40.7,101
"6","Gasoline",22.2,29.1,247
"8","Gasoline",33.5,38.2,244
"3","Diesel",42.3,46.3,244
"4","Gasoline",23.6,28.2,343
"4","Gasoline",28.8,33.6,131
"3","Hybrid",48.3,54.8,117
"4","Gasoline",41.7,47.4,198
"6","Hybrid",35,38.5,271
"4","Gasoline",22.8,29.6,432
"4","Hybrid",29.9,38.4,358
"6","Gasoline",42.1,49.1,253
"6","Gasoline",43.7,53.5,161
"4","Hybrid",23.6,27.3,404
"4","Diesel",38.2,46.9,138
"4","Gasoline",18.3,24.8,200
"4","Hybrid",15.8,22.5,221
"6","Gasoline",34.2,40.8,156
"4","Hybrid",22.9,28.2,160
"6","Gasoline",17.8,23.1,547
"6","Gasoline",40.5,47.9,182
"6","Gasoline",32.4,35.7,319
"4","Gasoline",42.9,50,258
"4","Gasoline",38.2,46.3,295
"6","Gasoline",40.5,46,276
"4","Gasoline",25.8,30.3,357
"4","Gasoline",24.2,28.7,288
"4","Gasoline",36,39.6,238
"4","Hybrid",22,25.6,458
"6","Gasoline",43.5,47.7,254
"4","Diesel",33.3,36.4,348
"4","Hybrid",22.9,27.8,400
"4","Diesel",36.9,42,215
"4","Hybrid",48.1,58.1,230
"6","Gasoline",17.9,27.8,531
"6","Gasoline",18.8,23.1,378
"4","Gasoline",44.5,49,202
"3","Gasoline",18.8,25.2,492
"4","Hybrid",16.4,20.4,410
"6","Gasoline",27.2,33.7,361
"4","Gasoline",31.3,37.1,138
"6","Diesel",34.9,40.2,212
"4","Gasoline",32.8,41.6,214
