Vehicle_ID,Engine_Size,Cylinders,Fuel_Type,City_MPG,Highway_MPG,CO2_Emissions
149,1.2,6,Gasoline,33.3,43.099999999999994,188.0
150,2.1,4,Hybrid,19.3,26.6,169.0
151,4.6,6,Gasoline,25.3,30.1,142.0
152,2.0,4,Gasoline,24.1,27.3,239.0
153,1.6,4,Gasoline,44.4,49.0,176.0
154,3.0,3,Diesel,21.8,29.5,267.0
155,4.9,6,Gasoline,43.3,52.8,82.0
156,2.0,4,Gasoline,42.8,48.0,126.0
157,3.7,4,Gasoline,32.5,41.6,124.0
158,4.0,4,Diesel,23.2,29.0,462.0
159,2.0,8,Gasoline,22.9,28.099999999999998,254.0
160,3.9,6,Gasoline,31.3,37.9,112.0
161,2.5,4,Diesel,15.3,21.4,519.0
162,3.5,6,Hybrid,33.6,43.0,151.0
163,3.5,4,Diesel,48.3,54.599999999999994,169.0
164,3.1,4,Diesel,20.4,25.299999999999997,222.0
165,1.4,8,Gasoline,35.1,44.0,313.0
166,4.3,4,Gasoline,48.7,58.7,228.0
167,2.3,4,Gasoline,45.1,52.6,194.0
168,1.7,4,Hybrid,44.8,49.599999999999994,211.0
169,1.2,4,Gasoline,43.8,48.5,162.0
170,3.4,4,Hybrid,25.8,29.2,443.0
171,3.7,4,Hybrid,46.2,49.7,156.0
172,1.1,4,Gasoline,47.9,57.3,111.0
173,3.0,4,Gasoline,32.4,36.1,139.0
174,1.9,4,Gasoline,27.4,33.8,182.0
175,3.6,4,Gasoline,29.5,37.4,262.0
176,1.7,3,Gasoline,26.7,35.7,189.0
177,3.8,6,Hybrid,22.4,26.599999999999998,387.0
178,2.5,4,Gasoline,36.6,42.7,179.0
179,4.7,6,Gasoline,34.7,39.5,310.0
180,1.6,6,Gasoline,31.2,36.0,257.0
181,2.4,6,Hybrid,18.4,23.5,439.0
182,1.5,4,Diesel,42.9,50.0,186.0
183,4.7,4,Hybrid,21.1,24.200000000000003,508.0
184,4.5,4,Hybrid,19.0,24.9,196.0
185,2.0,6,Gasoline,36.8,41.099999999999994,111.0
186,3.6,4,Gasoline,29.0,38.8,292.0
187,4.3,6,Gasoline,17.1,24.200000000000003,507.0
188,3.2,6,Gasoline,27.4,36.5,236.0
189,3.1,4,Diesel,42.0,46.4,155.0
190,2.0,4,Gasoline,36.5,45.2,151.0
191,1.4,6,Gasoline,27.7,33.6,189.0
192,4.6,4,Diesel,21.7,25.9,493.0
193,4.6,3,Diesel,37.1,45.400000000000006,154.0
194,3.5,6,Diesel,46.1,54.400000000000006,187.0
195,2.4,4,Gasoline,37.6,47.6,250.0
196,2.4,8,Hybrid,43.5,52.0,83.0
197,3.9,6,Gasoline,33.3,37.3,115.0
198,4.6,6,Gasoline,40.1,45.4,156.0
199,4.5,4,Diesel,46.4,52.6,199.0
200,4.1,4,Hybrid,42.1,46.0,137.0
201,3.6,4,Gasoline,46.8,55.3,74.0
202,1.3,4,Gasoline,30.1,36.800000000000004,187.0
203,1.6,4,Gasoline,46.6,56.2,88.0
204,4.6,4,Gasoline,36.8,43.9,141.0
205,3.4,4,Hybrid,45.5,52.2,136.0
206,1.0,4,Gasoline,16.4,19.9,268.0
207,1.4,6,Diesel,38.0,42.0,248.0
208,3.7,4,Diesel,44.7,53.6,122.0
209,1.0,3,Gasoline,21.1,31.0,366.0
210,1.6,6,Gasoline,38.2,44.1,219.0
211,3.2,8,Gasoline,43.9,52.599999999999994,241.0
212,3.8,4,Gasoline,25.1,32.5,157.0
213,3.6,4,Gasoline,29.2,38.9,165.0
214,1.9,4,Gasoline,34.9,39.6,304.0
215,3.8,8,Hybrid,33.2,40.0,299.0
216,1.9,6,Gasoline,16.4,22.299999999999997,281.0
217,2.3,6,Diesel,18.5,25.3,214.0
218,4.0,4,Gasoline,18.5,23.4,537.0
219,3.6,4,Diesel,24.2,30.7,193.0
220,4.4,3,Hybrid,23.6,31.0,417.0
221,3.6,6,Gasoline,41.0,44.6,284.0
222,3.3,6,Hybrid,35.0,43.2,145.0
223,1.4,8,Diesel,41.7,49.6,243.0
224,2.5,4,Hybrid,17.4,26.599999999999998,339.0
225,2.1,3,Diesel,32.0,38.0,304.0
226,2.0,4,Gasoline,26.3,29.7,261.0
227,4.9,6,Gasoline,44.7,50.900000000000006,91.0
228,2.6,6,Gasoline,39.8,43.8,239.0
229,4.6,4,Gasoline,45.4,52.9,103.0
230,3.5,4,Hybrid,16.6,19.900000000000002,650.0
231,4.2,4,Diesel,40.2,45.800000000000004,172.0
232,3.0,4,Gasoline,33.9,37.5,125.0
233,3.3,6,Hybrid,43.9,46.9,127.0
234,3.0,4,Diesel,32.8,42.5,300.0
235,1.8,6,Gasoline,33.9,43.9,169.0
236,3.9,4,Gasoline,16.8,23.700000000000003,555.0
237,2.1,6,Gasoline,38.4,43.1,129.0
238,1.1,4,Hybrid,24.6,34.0,268.0
239,3.6,6,Hybrid,15.7,25.2,559.0
240,1.7,4,Gasoline,17.3,26.3,191.0
241,4.8,4,Gasoline,48.5,55.3,124.0
242,4.8,4,Diesel,27.1,30.6,406.0
243,4.7,4,Hybrid,45.4,49.0,190.0
244,2.5,4,Diesel,48.6,57.900000000000006,188.0
245,1.1,4,Diesel,48.0,57.1,212.0
246,4.7,8,Gasoline,45.9,51.9,170.0
247,2.7,4,Gasoline,46.3,51.599999999999994,228.0
248,4.9,6,Gasoline,25.1,32.6,324.0
249,4.9,8,Hybrid,20.3,28.9,396.0
250,4.4,3,Gasoline,37.4,45.5,123.0
251,2.2,6,Hybrid,32.1,39.4,335.0
252,2.5,4,Gasoline,18.5,23.1,515.0
253,4.4,3,Hybrid,38.7,43.5,145.0
254,2.3,4,Gasoline,34.7,42.800000000000004,228.0
255,1.7,8,Gasoline,45.2,53.800000000000004,142.0
256,3.2,3,Diesel,36.3,40.099999999999994,249.0
257,4.7,4,Gasoline,35.1,39.4,334.0
258,3.8,4,Hybrid,30.4,38.199999999999996,121.0
259,3.3,6,Gasoline,31.2,36.9,355.0
260,1.4,3,Gasoline,48.4,55.3,85.0
261,3.5,6,Hybrid,19.8,27.1,332.0
262,5.0,6,Hybrid,30.6,39.0,229.0
263,1.6,6,Gasoline,38.0,46.6,144.0
264,3.1,8,Hybrid,30.2,35.2,266.0
265,4.5,6,Gasoline,24.9,31.7,390.0
266,4.0,3,Gasoline,25.1,29.0,234.0
267,3.8,4,Gasoline,23.2,32.1,158.0
268,3.8,4,Gasoline,27.0,35.9,295.0
269,2.4,4,Gasoline,45.5,50.6,215.0
270,2.2,4,Gasoline,32.7,36.800000000000004,348.0
271,4.2,4,Gasoline,23.4,26.9,205.0
272,4.2,4,Hybrid,28.5,35.5,364.0
273,4.5,8,Gasoline,18.7,22.3,389.0
274,4.7,3,Hybrid,46.6,54.4,115.0
275,3.0,8,Diesel,29.3,37.0,367.0
276,3.0,4,Gasoline,49.3,56.599999999999994,110.0
277,4.2,6,Gasoline,27.2,36.3,320.0
278,3.6,6,Gasoline,44.3,49.9,225.0
279,3.8,4,Hybrid,24.0,33.3,262.0
280,4.2,4,Gasoline,17.7,21.0,506.0
281,4.6,4,Gasoline,16.1,19.900000000000002,487.0
282,2.4,4,Hybrid,36.2,42.1,139.0
283,2.5,8,Diesel,25.9,33.1,353.0
284,1.4,6,Gasoline,30.5,33.7,370.0
285,3.3,4,Gasoline,43.7,50.7,170.0
286,1.1,4,Hybrid,23.7,28.9,473.0
287,2.9,4,Hybrid,25.8,35.0,247.0
288,3.2,3,Gasoline,44.6,51.300000000000004,166.0
289,2.1,6,Gasoline,32.2,39.300000000000004,270.0
290,3.4,4,Hybrid,44.0,53.6,110.0
291,1.1,4,Diesel,28.1,36.400000000000006,361.0
292,1.1,3,Hybrid,28.9,35.0,337.0
293,4.3,4,Gasoline,20.8,27.1,475.0
294,2.4,6,Hybrid,47.1,54.6,179.0
295,1.5,4,Gasoline,46.4,50.8,236.0
296,3.1,8,Gasoline,49.4,53.0,189.0
297,4.1,6,Diesel,29.1,34.300000000000004,260.0
298,1.9,4,Gasoline,43.7,52.1,249.0
299,3.5,3,Hybrid,29.5,34.3,238.0
300,1.3,6,Gasoline,30.9,34.8,247.0
301,1.2,8,Hybrid,44.0,48.5,113.0
302,3.1,6,Gasoline,21.2,29.0,480.0
303,3.2,4,Diesel,22.7,30.0,216.0
304,3.5,8,Gasoline,26.0,33.8,184.0
305,3.9,4,Diesel,42.6,47.9,102.0
306,4.9,6,Diesel,28.0,37.3,236.0
307,3.1,8,Gasoline,27.5,33.7,201.0
308,2.3,4,Gasoline,50.0,56.6,192.0
309,4.2,8,Gasoline,28.4,38.0,194.0
310,2.1,4,Hybrid,23.7,33.6,351.0
311,2.8,8,Gasoline,36.8,44.4,135.0
312,1.3,4,Gasoline,43.1,52.7,120.0
313,1.1,8,Gasoline,17.4,24.2,519.0
314,4.9,3,Hybrid,36.7,41.900000000000006,178.0
315,4.3,6,Gasoline,16.3,21.5,250.0
316,3.8,4,Gasoline,33.4,40.3,330.0
317,2.6,4,Diesel,24.0,31.2,192.0
318,1.7,4,Diesel,25.7,31.799999999999997,176.0
319,1.6,6,Gasoline,31.3,40.5,192.0
320,2.0,4,Hybrid,47.4,53.4,91.0
321,3.2,4,Diesel,39.9,44.8,121.0
322,3.9,4,Gasoline,47.8,50.9,226.0
323,3.6,8,Gasoline,38.1,47.900000000000006,122.0
324,2.1,3,Hybrid,15.2,24.0,241.0
325,4.8,4,Gasoline,24.3,31.6,410.0
326,4.0,4,Gasoline,46.7,55.5,149.0
327,3.2,4,Gasoline,37.5,46.2,122.0
328,3.4,4,Diesel,49.4,58.9,163.0
329,2.7,4,Gasoline,20.5,26.2,176.0
330,2.0,6,Diesel,25.4,32.3,260.0
331,2.4,6,Gasoline,27.7,31.4,302.0
332,4.0,4,Diesel,26.4,36.2,387.0
333,1.1,3,Diesel,23.8,33.7,230.0
334,1.5,6,Gasoline,30.5,39.0,301.0
335,1.2,4,Hybrid,37.5,43.7,121.0
336,1.2,6,Gasoline,25.9,32.4,259.0
337,4.4,4,Diesel,17.8,23.8,274.0
338,3.8,4,Gasoline,39.8,44.9,190.0
339,2.9,4,Gasoline,31.1,37.800000000000004,215.0
340,1.4,6,Hybrid,34.5,37.9,340.0
341,3.0,4,Hybrid,30.9,40.8,329.0
342,2.9,4,Gasoline,46.2,52.2,180.0
343,1.7,4,Gasoline,34.6,44.1,135.0
344,2.7,6,Gasoline,47.3,55.4,168.0
345,2.6,8,Hybrid,32.9,37.9,302.0
346,3.5,4,Gasoline,25.2,29.799999999999997,148.0
347,3.5,4,Gasoline,27.4,37.4,233.0
348,1.2,8,Gasoline,33.3,41.699999999999996,110.0
349,2.5,4,Hybrid,33.5,38.2,164.0
350,3.5,4,Gasoline,39.1,42.6,112.0
351,3.0,4,Gasoline,22.9,30.799999999999997,453.0
352,4.4,6,Gasoline,38.1,43.2,129.0
353,3.6,4,Gasoline,42.3,46.8,114.0
354,1.7,6,Diesel,38.7,46.800000000000004,287.0
355,1.3,4,Hybrid,31.9,39.699999999999996,231.0
356,3.6,3,Hybrid,49.7,56.1,196.0
357,1.1,6,Gasoline,29.2,38.8,195.0
358,3.3,4,Hybrid,18.7,26.5,372.0
359,4.8,4,Gasoline,43.8,53.099999999999994,79.0
360,3.3,6,Gasoline,22.4,26.7,298.0
361,2.6,6,Hybrid,40.0,45.1,202.0
362,3.6,6,Gasoline,21.3,25.0,356.0
363,2.8,8,Gasoline,15.6,20.7,402.0
364,3.2,6,Hybrid,20.6,30.400000000000002,417.0
365,4.8,3,Gasoline,28.2,37.9,246.0
366,2.5,4,Diesel,18.7,27.0,408.0
367,4.8,6,Hybrid,21.9,28.5,213.0
368,4.6,4,Gasoline,41.8,50.3,245.0
369,1.8,6,Gasoline,41.9,48.8,153.0
370,1.3,6,Gasoline,43.6,46.6,177.0
371,1.4,4,Gasoline,44.4,50.9,143.0
372,1.1,8,Gasoline,29.7,36.9,347.0
373,1.4,4,Diesel,45.4,50.3,243.0
374,3.7,4,Gasoline,33.4,37.8,160.0
375,1.3,8,Gasoline,31.5,36.4,304.0
376,2.3,4,Gasoline,40.1,47.5,106.0
377,4.4,4,Gasoline,22.5,26.5,164.0
378,1.1,4,Hybrid,42.6,50.6,238.0
379,4.3,6,Gasoline,30.0,36.0,148.0
380,2.1,6,Hybrid,19.5,25.0,229.0
381,1.5,6,Gasoline,19.2,27.9,385.0
382,3.8,6,Gasoline,20.8,27.3,453.0
383,3.5,4,Gasoline,46.2,51.800000000000004,110.0
384,4.5,6,Gasoline,49.7,58.800000000000004,88.0
385,3.9,6,Diesel,27.5,33.1,146.0
386,4.2,4,Gasoline,25.2,34.2,134.0
387,2.1,4,Hybrid,22.7,29.2,184.0
388,1.7,8,Gasoline,43.8,48.3,261.0
389,4.0,6,Hybrid,22.3,29.6,177.0
390,4.2,6,Gasoline,47.3,52.3,180.0
391,5.0,6,Gasoline,38.4,42.4,292.0
392,2.7,4,Gasoline,46.4,50.0,192.0
393,2.5,6,Gasoline,34.4,39.1,110.0
394,4.1,4,Hybrid,39.2,47.400000000000006,207.0
395,2.4,3,Gasoline,36.7,45.6,283.0
396,4.7,6,Gasoline,44.1,53.1,135.0
397,4.4,4,Gasoline,44.3,49.199999999999996,139.0
398,2.7,6,Gasoline,35.6,43.2,150.0
399,4.0,4,Hybrid,37.1,41.7,207.0
400,4.0,4,Diesel,47.3,54.699999999999996,114.0
401,1.4,4,Diesel,47.5,56.7,194.0
402,4.6,4,Gasoline,38.2,41.5,236.0
403,3.0,4,Hybrid,15.3,25.200000000000003,358.0
404,4.3,4,Diesel,18.7,27.5,436.0
405,2.3,8,Gasoline,45.0,53.3,94.0
406,4.6,4,Gasoline,18.0,25.8,471.0
407,2.6,4,Hybrid,22.5,30.9,338.0
408,1.0,4,Gasoline,23.1,33.1,330.0
409,4.6,6,Diesel,36.0,44.4,107.0
410,1.4,4,Gasoline,35.2,40.7,241.0
411,2.3,6,Gasoline,25.1,32.4,281.0
412,4.8,6,Diesel,22.3,27.700000000000003,320.0
413,4.8,4,Diesel,41.8,51.599999999999994,141.0
414,3.3,4,Gasoline,47.7,57.0,73.0
415,3.5,8,Diesel,16.8,23.8,367.0
416,2.8,6,Gasoline,19.7,28.2,303.0
417,2.2,6,Diesel,37.5,46.9,177.0
418,2.3,3,Hybrid,43.2,47.900000000000006,200.0
419,3.7,4,Hybrid,42.7,49.800000000000004,138.0
420,4.0,4,Gasoline,40.2,46.6,141.0
421,4.2,4,Gasoline,46.1,54.5,161.0
422,4.2,4,Hybrid,22.6,28.3,351.0
423,1.4,6,Gasoline,18.8,26.8,382.0
424,3.0,4,Gasoline,36.5,42.3,291.0
425,1.2,6,Hybrid,43.8,47.599999999999994,229.0
426,3.2,6,Gasoline,35.4,39.1,113.0
427,2.8,4,Gasoline,48.7,52.5,172.0
428,4.6,6,Gasoline,42.8,46.0,167.0
429,2.4,4,Gasoline,39.5,46.2,161.0
430,1.5,6,Gasoline,17.1,24.8,579.0
431,1.6,4,Hybrid,18.8,22.7,373.0
432,4.0,3,Gasoline,42.5,49.8,218.0
433,3.5,6,Gasoline,21.9,29.099999999999998,479.0
434,1.4,4,Hybrid,16.0,20.0,282.0
435,1.3,8,Diesel,46.9,52.699999999999996,85.0
436,3.8,4,Diesel,46.2,54.5,129.0
437,1.3,4,Gasoline,22.6,25.700000000000003,171.0
438,4.3,4,Hybrid,42.3,46.3,108.0
439,3.8,4,Gasoline,16.7,26.7,573.0
440,1.3,4,Gasoline,25.0,33.1,418.0
441,1.3,6,Gasoline,36.8,43.0,246.0
442,4.9,6,Gasoline,41.7,49.1,228.0
443,2.5,6,Gasoline,15.4,24.3,251.0
444,2.5,8,Diesel,26.4,35.3,290.0
445,4.3,4,Gasoline,22.5,27.8,203.0
446,4.8,6,Diesel,50.0,56.4,133.0
447,4.9,4,Gasoline,38.5,46.0,160.0
448,4.0,6,Gasoline,29.2,32.7,295.0
449,2.5,4,Gasoline,17.6,27.200000000000003,199.0
450,1.3,8,Hybrid,36.0,42.0,119.0
451,4.1,6,Hybrid,37.5,43.1,225.0
452,3.2,8,Hybrid,43.6,52.900000000000006,193.0
453,2.7,6,Diesel,25.1,28.900000000000002,249.0
454,4.6,8,Diesel,49.3,52.599999999999994,99.0
455,1.4,6,Diesel,30.4,38.199999999999996,335.0
456,3.0,4,Diesel,25.4,31.099999999999998,149.0
457,1.0,4,Gasoline,27.2,35.6,319.0
458,2.9,4,Gasoline,33.2,36.7,142.0
459,1.2,3,Gasoline,47.8,53.5,184.0
460,1.5,4,Gasoline,40.7,45.300000000000004,222.0
461,1.5,4,Gasoline,35.2,43.400000000000006,274.0
462,3.6,4,Gasoline,20.7,25.299999999999997,313.0
463,4.0,8,Gasoline,20.2,26.4,169.0
464,3.3,8,Gasoline,32.6,41.3,294.0
465,4.8,4,Hybrid,40.5,49.9,169.0
466,2.5,4,Gasoline,41.3,49.4,246.0
467,2.1,4,Gasoline,22.9,28.9,407.0
468,4.5,4,Hybrid,18.5,25.5,369.0
469,1.9,6,Gasoline,28.5,36.3,386.0
470,4.9,4,Gasoline,47.1,56.2,151.0
471,1.0,4,Gasoline,34.1,43.3,254.0
472,4.9,6,Gasoline,26.2,35.7,311.0
473,1.2,6,Gasoline,26.3,35.0,270.0
474,4.6,4,Gasoline,19.6,23.6,411.0
475,3.1,6,Gasoline,31.6,39.8,301.0
476,5.0,4,Hybrid,42.7,51.400000000000006,186.0
477,1.3,4,Gasoline,48.9,58.0,144.0
478,3.2,3,Diesel,32.6,42.1,256.0
479,4.9,4,Gasoline,20.9,27.5,168.0
480,3.1,4,Gasoline,38.9,46.5,110.0
481,3.5,4,Hybrid,41.5,44.6,113.0
482,3.8,6,Gasoline,17.5,24.5,356.0
483,2.8,6,Hybrid,44.8,51.099999999999994,237.0
484,3.5,4,Gasoline,44.0,53.7,192.0
485,3.3,3,Hybrid,31.5,40.8,339.0
486,4.6,6,Gasoline,34.6,43.2,105.0
487,1.2,3,Gasoline,40.0,43.4,241.0
488,2.1,8,Diesel,38.7,44.5,156.0
489,4.8,6,Diesel,15.6,23.5,202.0
490,4.6,4,Gasoline,19.3,22.5,525.0
491,2.8,4,Hybrid,20.7,25.4,224.0
492,3.5,3,Gasoline,41.4,50.599999999999994,122.0
493,2.1,4,Gasoline,30.4,34.3,208.0
494,1.8,4,Gasoline,34.1,37.5,297.0
495,2.9,6,Diesel,42.0,49.1,202.0
496,2.4,4,Hybrid,26.9,36.5,191.0
497,3.3,4,Gasoline,41.2,50.0,115.0
498,1.3,4,Gasoline,30.5,40.3,133.0
499,4.9,4,Diesel,28.2,36.5,156.0
500,4.9,3,Gasoline,26.7,32.8,381.0
501,3.8,3,Gasoline,48.8,58.4,221.0
502,3.1,3,Gasoline,42.0,48.0,272.0
503,2.2,6,Gasoline,15.7,21.2,599.0
504,4.3,4,Gasoline,48.5,54.6,223.0
505,3.7,6,Gasoline,42.1,50.8,234.0
506,1.7,4,Diesel,20.2,29.6,487.0
507,4.6,4,Diesel,17.7,23.2,545.0
508,4.3,4,Gasoline,25.8,32.0,270.0
509,4.8,6,Gasoline,36.8,46.099999999999994,159.0
510,3.9,4,Gasoline,36.6,39.9,232.0
511,3.5,4,Gasoline,24.7,33.2,313.0
512,2.7,4,Diesel,30.6,36.800000000000004,261.0
513,4.7,4,Hybrid,22.4,28.0,394.0
514,4.5,4,Diesel,16.8,22.9,497.0
515,1.2,6,Diesel,33.1,39.0,125.0
516,1.1,4,Gasoline,27.1,35.400000000000006,200.0
517,2.5,6,Gasoline,34.0,43.5,298.0
518,4.2,4,Hybrid,48.1,54.5,174.0
519,4.9,6,Hybrid,20.0,28.8,271.0
520,1.6,6,Gasoline,15.1,23.2,584.0
521,3.4,4,Gasoline,17.7,23.0,291.0
522,2.5,6,Diesel,31.2,38.3,211.0
